,Mean_Correl,FullCorrel
50Y,-0.08818972530910775,-0.06870658508289092
3Y,-0.1207636463757484,-0.15867037580815951
8Y,-0.13530111264103145,-0.18138563210110387
9Y,-0.13679917010120374,-0.18129455664101227
6Y,-0.12766070247396158,-0.17266463834137818
25Y,-0.09599946061599059,-0.10587755128994362
60Y,-0.08421117760715302,-0.06981552701375372
13Y,-0.1434467293548465,-0.180696169803504
11Y,-0.1404895395491032,-0.18146610270623983
7Y,-0.13213075289871679,-0.17667292182644595
20Y,-0.13141963693874562,-0.1633768176187036
40Y,-0.0906883798448398,-0.06794424857835646
10Y,-0.13870953795092947,-0.18089447377544585
12Y,-0.14201951268586654,-0.18102538839056936
5Y,-0.12089641415913524,-0.16355020032940837
15Y,-0.1438074904851964,-0.1768959476370858
30Y,-0.12605139307893357,-0.15013344701930234
2Y,-0.08724453682591767,-0.11154746924653552
14Y,-0.14403482775918047,-0.17942008254934988
4Y,-0.12133748219309325,-0.16162697661741407
