,Mean_Correl,FullCorrel
28Y,-0.05235924858778866,-0.05147667763486326
50Y,-0.05941124104217078,-0.058519805222207094
8Y,-0.07716280057874214,-0.10319780380374381
13Y,-0.06954802085871449,-0.09458826424639696
29Y,-0.05329161970750941,-0.047815983176152495
27Y,-0.05278232161692808,-0.055351514992751386
6Y,-0.08665043583846765,-0.12108572741654974
22Y,-0.05936992280026002,-0.06836529985962074
10Y,-0.06932089263785755,-0.10602751696672832
19Y,-0.06085939078253094,-0.07412631736856237
18Y,-0.061122192353095434,-0.07671739871747475
90Y,-0.040659817751523414,-0.025181411581945198
16Y,-0.06148827540945268,-0.0843750544283257
30Y,-0.054026132115526634,-0.044057879109189076
21Y,-0.0594136620181129,-0.06945010979894337
9Y,-0.07901944393426816,-0.10402180580491824
24Y,-0.0554348826054027,-0.06402676677549005
11Y,-0.07246604920624825,-0.10389397957439707
60Y,-0.056209287983394564,-0.044683966921461635
26Y,-0.052809228524062335,-0.05841399492093045
12Y,-0.06772194231135474,-0.07211314020296315
17Y,-0.060975408996578044,-0.07990519733951221
15Y,-0.06368315800437746,-0.09065836576424731
2Y,-0.07512770041142666,-0.14001995733836725
4Y,-0.08690579701165332,-0.1401447386319485
3Y,-0.09836532005437476,-0.14730093987766324
25Y,-0.05391203919758449,-0.0622061602094014
7Y,-0.08661171624305095,-0.1125521421281181
23Y,-0.05722692580353405,-0.065985091962818
40Y,-0.06200958899654183,-0.061368844213511936
20Y,-0.06011072871524022,-0.07123305786484102
5Y,-0.09591938344871875,-0.13989559983246305
14Y,-0.06666542315652065,-0.09314568147010462
