,Mean_Correl,FullCorrel
50Y,-0.05923065345614083,-0.09161556547910223
3Y,-0.18604730114786755,-0.24727944409562677
8Y,-0.11725817723586422,-0.18734371422352064
9Y,-0.11405225822738004,-0.18072643735534474
6Y,-0.13109879442976227,-0.2061525558142532
25Y,-0.0517866319895332,-0.08284182691152303
60Y,-0.02924791662440753,-0.04094595695196615
13Y,-0.0979881409151321,-0.15341002670169127
11Y,-0.10466240303035139,-0.1659981312271175
7Y,-0.1204611667702149,-0.19484367197234914
20Y,-0.07914757980022154,-0.12047594887427271
40Y,-0.06118166612046315,-0.0932380615654426
10Y,-0.10781845225518868,-0.17168961888926101
12Y,-0.10101179356099682,-0.1591644491868263
5Y,-0.1391312202599143,-0.2146040015853609
15Y,-0.09062438434497665,-0.13937023357230421
30Y,-0.07581114208527229,-0.10554844607886618
2Y,-0.2177903342925232,-0.2631885829143573
14Y,-0.09444714937209585,-0.1467051197816024
4Y,-0.15843239536785045,-0.22757975257756258
