,Mean_Correl,FullCorrel
50Y,-0.04146924795580864,-0.04142317128894916
3Y,-0.017251280309514214,-0.02379339423331706
8Y,-0.07190709643668126,-0.11063934816825985
9Y,-0.07757536380931293,-0.11677240988254443
6Y,-0.05432078009009672,-0.0866127942792482
25Y,-0.032909609280875884,-0.04034255667573267
60Y,-0.046975998983808845,-0.025523177835659914
13Y,-0.08980103808991867,-0.13126895075340608
11Y,-0.08409895118607957,-0.12563305465442057
7Y,-0.066758080120299,-0.10191052848116394
20Y,-0.08134384632418085,-0.11593417245276298
40Y,-0.03624347323657115,-0.034934371330951126
10Y,-0.07998731821719063,-0.12077696952603813
12Y,-0.08754602967213611,-0.12927692899392007
5Y,-0.04694307378653434,-0.07584613629085565
15Y,-0.09170420429878261,-0.13078524458655616
30Y,-0.08653749642917391,-0.11184054832573363
2Y,0.04428676619498283,0.06054927591293223
14Y,-0.09106292556237244,-0.13164660254103233
4Y,-0.03404510787432556,-0.05205580947227344
